Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Net Income/Starting Line;Depreciation & Amortization;Non-Cash Items;Change in Working Capital;Change in Accounts Receivable;Change in Inventories;Change in Accounts Payable;Change in Other;Net Cash from Operating Activities;Change in Fixed Assets & Intangibles;Net Change in Long Term Investment;Net Cash from Acquisitions & Divestitures;Net Cash from Investing Activities;Dividends Paid;Cash from (Repayment of) Debt;Cash from (Repurchase of) Equity;Net Cash from Financing Activities;Net Change in Cash
A;45846;USD;2019;FY;2019-10-31;2019-12-19;2021-12-17;314000000;318000000;1071000000;238000000;-152000000;-136000000;-106000000;-36000000;29000000;-23000000;1021000000;-155000000;;-1408000000;-1590000000;-206000000;600000000;-669000000;-299000000;-866000000
A;45846;USD;2020;FY;2020-10-31;2020-12-18;2022-12-21;309000000;312000000;719000000;308000000;220000000;-326000000;;;;;921000000;-118000000;;;-147000000;-222000000;-45000000;-409000000;-717000000;59000000
A;45846;USD;2021;FY;2021-10-31;2021-12-17;2023-12-20;305000000;307000000;1210000000;321000000;56000000;-102000000;;;;;1485000000;-187000000;12000000;-547000000;-749000000;-236000000;356000000;-733000000;-696000000;43000000
A;45846;USD;2022;FY;2022-10-31;2022-12-21;2024-12-20;304000000;307000000;1254000000;317000000;219000000;-478000000;;;;;1312000000;-291000000;9000000;-52000000;-334000000;-250000000;22000000;-1081000000;-1376000000;-434000000
A;45846;USD;2023;FY;2023-10-31;2023-12-20;2024-12-20;294000000;296000000;1240000000;271000000;377000000;-116000000;;;;;1772000000;-298000000;-3000000;-1000000;-302000000;-265000000;-43000000;-508000000;-938000000;537000000
A21;1333027;USD;2019;FY;2019-12-31;2020-03-09;2022-04-19;1853320448;2115376392;-2417874000;116391000;672729000;-153561000;;;;;-1793710000;-951253000;-98000000;-560000000;-2574836000;;401357000;5156924000;5655690000;1340866000
A21;1333027;USD;2020;FY;2020-12-31;2021-03-10;2023-04-21;1853320448;2115376392;-24055773;46508505;-12047157;294096940;;;;;304523958;-97749057;-9417727;-5135993;-2564477341;;533920965;3046365362;3580286327;1265761414
AA;367153;USD;2019;FY;2019-12-31;2020-02-21;2022-02-24;185000000;185000000;-853000000;713000000;1091000000;-265000000;;;;;686000000;-379000000;-112000000;23000000;-468000000;;-7000000;2000000;-444000000;-233000000
AA;367153;USD;2020;FY;2020-12-31;2021-02-25;2023-02-23;186000000;186000000;-14000000;653000000;-221000000;-24000000;;;;;394000000;-353000000;-12000000;198000000;-167000000;;738000000;1000000;514000000;727000000
AA;367153;USD;2021;FY;2021-12-31;2022-02-24;2024-02-21;185663439;185663439;570000000;664000000;358000000;-672000000;;;;;920000000;-390000000;-11000000;966000000;562000000;-19000000;-799000000;-125000000;-1155000000;314000000
AA;367153;USD;2022;FY;2022-12-31;2023-02-23;2025-02-20;186377853;189907737;38000000;617000000;1015000000;-848000000;;;;;822000000;-480000000;-22000000;5000000;-501000000;-72000000;3000000;-478000000;-762000000;-450000000
AA;367153;USD;2023;FY;2023-12-31;2024-02-21;2025-02-20;178000000;178000000;-773000000;632000000;502000000;-270000000;;;;;91000000;-531000000;-70000000;4000000;-596000000;-72000000;55000000;1000000;68000000;-427000000
AAC;7962652;USD;2021;FY;2021-12-31;2022-03-04;2023-03-10;125000000;125000000;15849072;;-22310688;5048063;;;;;-1413553;;;;-1000000000;;1023000000;;1002163063;749510
AAC;7962652;USD;2022;FY;2022-12-31;2023-02-28;2023-03-10;100000000;100000000;20983590;;-28326302;5131184;;;;;-2211528;;;;;;1500000;;1500000;-711528
AACI;11820349;USD;2021;FY;2021-09-30;2021-12-29;2022-12-22;5709500;20709500;-468899;;284794;-341724;;;;;-525829;;;;-150000000;;4595000;148536045;151183419;657590
AAGH;12444287;USD;2019;FY;2019-06-30;2021-03-23;2021-07-13;20236021836;20236021836;-65043;;17472;19779;;;;;-27792;;12971;;0;;;;-1500;87
AAGH;12444287;USD;2020;FY;2020-06-30;2020-10-12;2022-01-21;20236021836;20236021836;-51916;;4911;7446;;;;;-39559;;;;;;39623;;39623;64
AAGH;12444287;USD;2021;FY;2021-06-30;2022-01-21;2022-10-31;20438554050;20438554050;-269054;;15534;-75721;;;;;-329241;-12671;;;-12671;;582159;;737882;395970
AAGH;12444287;USD;2022;FY;2022-06-30;2022-10-31;2023-10-13;21090049276;21090049276;-4924936;5905;1434622;2004551;;;;;-1479858;-16851;;;-16851;;823666;97500;1163056;-333653
AAGH;12444287;USD;2023;FY;2023-06-30;2023-10-13;2023-10-13;21090938148;21090938148;-777340;10346;20405;-6313;;;;;-752902;-44420;;;-44420;;845966;92080;789328;-7994
AAIC;9076064;USD;2019;FY;2019-12-31;2020-02-24;2021-02-26;35709000;35833000;13742000;26463000;735000;5625000;;;;;46565000;;-309035000;;165500000;-44520000;-252419000;77766000;-219142000;-7077000
AAIC;9076064;USD;2020;FY;2020-12-31;2021-02-26;2022-03-10;35343000;35343000;-67716000;;85268000;8362000;;;;;25914000;;2799646000;;3037014000;-11315000;-3023716000;-10377000;-3042599000;20329000
AAIC;9076064;USD;2021;FY;2021-12-31;2022-03-10;2023-03-31;32312000;32312000;-9515000;;10880000;3326000;;;;;4691000;;-605048000;;230879000;-2916000;-289430000;-11556000;-253749000;-18179000
AAIC;9076064;USD;2022;FY;2022-12-31;2023-03-31;2023-03-31;28717000;29243000;5426000;;-8402000;1601000;;;;;-1375000;;-784572000;;-113430000;-2783000;-56615000;-9167000;123231000;8426000
AAL;68568;USD;2019;FY;2019-12-31;2020-02-19;2022-02-22;443363000;444269000;1686000000;2318000000;678000000;-867000000;;;;;3815000000;-4062000000;;;-2243000000;-178000000;-230000000;-1097000000;-1568000000;4000000
AAL;68568;USD;2020;FY;2020-12-31;2021-02-17;2023-02-22;483888000;483888000;-8885000000;2370000000;-1245000000;1217000000;;;;;-6543000000;-1607000000;;;-4342000000;-43000000;8245000000;2970000000;10994000000;109000000
AAL;68568;USD;2021;FY;2021-12-31;2022-02-22;2024-02-21;648766000;648766000;-1993000000;2335000000;-605000000;967000000;;;;;704000000;166000000;-28000000;;-5983000000;;4847000000;460000000;5288000000;9000000
AAL;68568;USD;2022;FY;2022-12-31;2023-02-22;2025-02-19;650345000;655122000;127000000;2298000000;330000000;-582000000;;;;;2173000000;-2546000000;;;636000000;;-2683000000;;-2631000000;178000000
AAL;68568;USD;2023;FY;2023-12-31;2024-02-21;2025-02-19;653612000;719669000;822000000;2254000000;431000000;296000000;;;;;3803000000;-2596000000;;;-502000000;;-2896000000;;-3206000000;95000000
AAMC;847094;USD;2019;FY;2019-12-31;2020-02-28;2021-03-03;2702918;2702918;-2612923;736263;-3349000;-1343000;;;;;-6744000;-163000;;;-186000;;;-243644;-244000;-7206000
AAMC;847094;USD;2020;FY;2020-12-31;2021-03-03;2022-03-31;2773254;2773254;39832509;354000;-4279000;-547000;;;;;18606000;-86000;;;3557000;;;-310715;-297000;21842000
AAMC;847094;USD;2021;FY;2021-12-31;2022-03-31;2023-03-27;2773254;2773254;-5998850;447105;-9476000;-1731000;;;;;-17676000;-511000;-11411387;;58907000;;0;-1047731;-4804000;36427000
AAMC;847094;USD;2022;FY;2022-12-31;2023-03-27;2024-03-29;3259755;3259755;-15934000;440344;-252000;-1172924;;;;;-27114434;-60000;;;-85183337;;51653000;-2881000;46779000;-65534000
AAMC;847094;USD;2023;FY;2023-12-31;2024-03-29;2024-03-29;2925744;2925744;-32546000;680615;34049000;21213555;;;;;-11773000;-16000;;;62894000;;-51617000;-3328000;-55180000;-4059000
AAN;441241;USD;2019;FY;2019-12-31;2020-02-20;2022-02-24;67322000;68631000;28099000;601964000;266657000;75252779;;;;;185977000;-65927000;1212000;-11472000;-76187000;;-84531000;;-73143000;36767000
AAN;441241;USD;2020;FY;2020-12-31;2021-02-23;2023-03-01;33877000;33877000;-265912000;571260000;552665000;149885497;;;;;355769000;-60607000;;-14432662;-75041000;;-342335000;;-253411000;27350000
AAN;441241;USD;2021;FY;2021-12-31;2022-02-24;2024-02-29;32485000;33188000;109934000;5520901;208098000;-799403792;;;;;136040000;-77762000;;-9940582;-85375000;-9971000;9260000;-103030798;-103951000;-53291000
AAN;441241;USD;2022;FY;2022-12-31;2023-03-01;2024-02-29;30881000;30881000;-5280000;9330684;261538000;-709498484;;;;;170432000;-86461000;;-266692000;-351377000;-13530000;217146685;-13372839;185880000;4884000
AAN;441241;USD;2023;FY;2023-12-31;2024-02-29;2024-02-29;30778000;31105000;2823000;10368085;204687000;-607431380;;;;;180414000;-77121000;;;-76876000;-14994000;-48625000;-6506818;-72249000;31319000
AAOI;671827;USD;2019;FY;2019-12-31;2020-02-28;2022-02-24;19982363;19982363;-66049000;24014000;33806000;6475000;;;;;-1754000;-29428000;;;-32116000;;43481000;14000;42596000;9024000
AAOI;671827;USD;2020;FY;2020-12-31;2021-02-25;2023-02-27;21866630;21866630;-58452000;24733000;24119000;-34409000;;;;;-44009000;-16068000;;;-19347000;;9322000;39216000;47441000;-16914000
AAOI;671827;USD;2021;FY;2021-12-31;2022-02-24;2024-02-23;27097372;27097372;-54162000;25371000;11190000;5957000;;;;;-11644000;-8324000;;;-10546000;;-357000;15405000;14087000;-8979000
AAOI;671827;USD;2022;FY;2022-12-31;2023-02-27;2024-02-23;27846387;27846387;-66397000;23202000;17268000;11905000;;;;;-14022000;-3305000;;;-3834000;;9969000;1238000;10753000;-5550000
AAOI;671827;USD;2023;FY;2023-12-31;2024-02-23;2024-02-23;31944259;31944259;-56048000;20427000;21634000;6058000;;;;;-7929000;-9532000;;;-14761000;;-27472000;69006000;40578000;19510000
AAON;919501;USD;2019;FY;2019-12-31;2020-02-27;2022-02-28;78119798;78953123;53711000;22766000;19674000;1774000;;;;;97925000;-37097000;0;;-37046000;-16645000;6614000;-6961000;-18500000;42379000
AAON;919501;USD;2020;FY;2020-12-31;2021-02-25;2023-02-27;78253019;79591754;79009000;25634000;19159000;5012000;;;;;128814000;-67742000;;;-61273000;-19815000;;-8642000;-29626000;37915000
AAON;919501;USD;2021;FY;2021-12-31;2022-02-28;2024-02-28;78631067;80319770;58758000;30343000;16223000;-44141000;;;;;61183000;-55343000;;-103430000;-158719000;-19947000;40000000;272000;18735000;-78801000
AAON;919501;USD;2022;FY;2022-12-31;2023-02-27;2024-02-28;79582479;81145608;100376000;35106000;3410000;-77574000;;;;;61318000;-54012000;;-249000;-76213000;-22917000;31004000;10403000;17357000;2462000
AAON;919501;USD;2023;FY;2023-12-31;2024-02-28;2024-02-28;81156114;83295290;177623000;46468000;11698000;-76894000;;;;;158895000;-104165000;;-5197000;-109311000;-26445000;-32676000;8250000;-46510000;3074000
AAP;184955;USD;2019;FY;2019-12-31;2020-02-18;2022-02-15;70869000;71165000;486896000;238371000;79694000;61948000;;;;;866909000;-462939000;;;-462939000;-17185000;-369386000;-495101000;-882153000;-477862000
AAP;184955;USD;2020;FY;2020-12-31;2021-02-22;2023-02-28;68748000;69003000;493021000;250081000;107623000;118963000;;;;;969688000;-266897000;;;-266897000;-56347000;244524000;-469691000;-285997000;416327000
AAP;184955;USD;2021;FY;2021-12-31;2022-02-15;2024-03-12;62854000;63348000;596615000;259933000;122817000;127657000;;;;;1107022000;-287314000;;;-284293000;-160925000;;-906208000;-1067133000;-238930000
AAP;184955;USD;2022;FY;2022-12-31;2023-02-28;2024-03-12;60351000;60717000;464402000;283800000;81082000;-92713000;;;;;736571000;-424448000;;;-422979000;-336230000;332537000;-618480000;-622173000;-317245000
AAP;184955;USD;2023;FY;2023-12-31;2024-03-12;2024-03-12;59432000;59608000;29735000;306454000;1989000;-50803000;;;;;287375000;-235489000;;;-236982000;-209293000;414571000;-14518000;190760000;232666000
AAPL;111052;USD;2019;FY;2019-09-30;2019-10-31;2021-10-29;18471336000;18595652000;55256000000;12547000000;5076000000;-3488000000;;;;;69391000000;-10495000000;58093000000;-624000000;45896000000;-14119000000;-7819000000;-66116000000;-90976000000;24311000000
AAPL;111052;USD;2020;FY;2020-09-30;2020-10-30;2022-10-28;17352119000;17528214000;57411000000;11056000000;6517000000;5690000000;;;;;80674000000;-7309000000;5453000000;-1524000000;-4289000000;-14081000000;2499000000;-72358000000;-86820000000;-10435000000
AAPL;111052;USD;2021;FY;2021-09-30;2021-10-29;2023-11-03;16391724000;16519291000;94680000000;11284000000;2985000000;-4911000000;;;;;104038000000;-11085000000;-3075000000;;-14545000000;-14467000000;12665000000;-85971000000;-93353000000;-3860000000
AAPL;111052;USD;2022;FY;2022-09-30;2022-10-28;2024-11-01;16215963000;16325819000;99803000000;11104000000;10044000000;1200000000;;;;;122151000000;-10708000000;-9560000000;;-22354000000;-14841000000;-123000000;-89402000000;-110749000000;-10952000000
AAPL;111052;USD;2023;FY;2023-09-30;2023-11-03;2024-11-01;15744231000;15812547000;96995000000;11519000000;8606000000;-6577000000;;;;;110543000000;-10959000000;16001000000;;3705000000;-15025000000;-9901000000;-77550000000;-108488000000;5760000000
AAT;919944;USD;2019;FY;2019-12-31;2020-02-14;2022-02-11;54110949;70786132;60188000;96205000;-486000;-2091000;;;;;153816000;-596107000;;8191000;-599183000;-80605000;65238000;515354000;497546000;52179000
AAT;919944;USD;2020;FY;2020-12-31;2021-02-16;2023-02-10;59806309;76119763;35588000;108292000;-7056000;-9839000;;;;;126985000;-63488000;;;-69077000;-76510000;48997000;;-28310000;29598000
AAT;919944;USD;2021;FY;2021-12-31;2022-02-11;2024-02-14;59990343;76171880;36593000;116306000;-4190000;16369000;;;;;165078000;-309099000;-37000;;-309027000;-88936000;239300000;;144424000;475000
AAT;919944;USD;2022;FY;2022-12-31;2023-02-10;2024-02-14;76230507;76230507;55877000;123338000;387000;-7181000;;;;;172421000;-158947000;;;-159670000;-98248000;0;;-102704000;-89953000
AAT;919944;USD;2023;FY;2023-12-31;2024-02-14;2024-02-14;60158976;76340513;64690000;119500000;5543000;-6748000;;;;;182985000;-82980000;;;-84121000;-101571000;39000000;;-65547000;33317000
AAWH;2265764;USD;2020;FY;2020-12-31;2021-03-11;2023-03-15;167790414;167790414;-23841000;12561000;6017000;-741000;;;;;-6004000;204000;;-26044000;-30872000;;85567000;;82168000;45292000
AAWH;2265764;USD;2021;FY;2021-12-31;2022-03-11;2024-03-13;149434000;149434000;-122657000;22219000;96457000;-37757000;;;;;-41738000;-87498000;;-23086000;-113233000;;180233000;81909000;252355000;97384000
AAWH;2265764;USD;2022;FY;2022-12-31;2023-03-15;2024-03-13;183381000;183381000;-80899000;37106000;36575000;-31138000;;;;;-38356000;-86669000;;-25140000;-114254000;;81502000;;71275000;-81335000
AAWH;2265764;USD;2023;FY;2023-12-31;2024-03-13;2024-03-13;199154000;199154000;-48214000;58983000;38389000;26176000;;;;;75334000;-25191000;;-19857000;-59890000;;-23557000;7186000;-17082000;-1638000
AAWW;762204;USD;2019;FY;2019-12-31;2020-02-24;2022-02-17;25828000;25828000;-293113000;316821000;413810000;-137174000;;;;;300344000;-123254000;15624000;-2028000;-285761000;;-128682000;;-133894000;-119311000
AAWW;762204;USD;2020;FY;2020-12-31;2021-02-18;2023-02-23;26408000;26690000;360286000;328101000;236207000;84948000;;;;;1009542000;47402000;881000;-9298000;-145288000;;-112016000;;-121403000;742851000
AAWW;762204;USD;2021;FY;2021-12-31;2022-02-17;2023-02-23;29023000;30547000;493317000;357330000;171396000;-99059000;;;;;922984000;-80818000;;-4893000;-493395000;;-329877000;;-364853000;64736000
AAWW;762204;USD;2022;FY;2022-12-31;2023-02-23;2023-02-23;28463000;34190000;355880000;354139000;137992000;-10272000;;;;;837739000;-66572000;;-10614000;-820265000;;-40794000;-100000000;-164580000;-147106000
ABBV;61199;USD;2019;FY;2019-12-31;2020-02-21;2022-02-18;1481000000;1484000000;7882000000;2017000000;4876000000;-1451000000;;;;;13324000000;-552000000;2116000000;-1135000000;596000000;-6366000000;26247000000;-621000000;18708000000;32635000000
ABBV;61199;USD;2020;FY;2020-12-31;2021-02-19;2023-02-17;1667000000;1673000000;4622000000;6471000000;6389000000;106000000;;;;;17588000000;-798000000;1464000000;-39610000000;-37557000000;-7716000000;-2683000000;-769000000;-11501000000;-31475000000
ABBV;61199;USD;2021;FY;2021-12-31;2022-02-18;2024-02-20;1767880465;1778000000;11549000000;8521000000;3938000000;-1231000000;;;;;22777000000;-787000000;-21000000;-1902000000;-2344000000;-9261000000;-8414000000;-690000000;-19039000000;1297000000
ABBV;61199;USD;2022;FY;2022-12-31;2023-02-17;2025-02-14;1771000000;1778000000;11845000000;8467000000;4725000000;-94000000;;;;;24943000000;-695000000;92000000;-794000000;-623000000;-10043000000;-12433000000;-1225000000;-24803000000;-545000000
ABBV;61199;USD;2023;FY;2023-12-31;2024-02-20;2025-02-14;1768000000;1773000000;4873000000;8698000000;6455000000;2813000000;;;;;22839000000;-777000000;-22000000;-1223000000;-2009000000;-10539000000;-4149000000;-1792000000;-17222000000;3613000000
ABCL;1250893;USD;2019;FY;2019-12-31;2020-03-29;2022-02-25;151856754;191268368;-2211000;1604000;1327000;1974000;;;;;2694000;-3997000;;;-5780000;;181000;14000;195000;-2891000
ABCL;1250893;USD;2020;FY;2020-12-31;2021-03-30;2023-02-21;269710975;370914779;118918000;2317000;18156000;-116701000;;;;;22690000;-14673000;1783000;-87643000;-119780000;;86538000;597502000;683653000;586563000
ABCL;1250893;USD;2021;FY;2021-12-31;2022-02-25;2024-02-20;278933760;278933760;153464000;4403000;45045000;41672000;;;;;244584000;-58452000;-247102000;-11457000;-332247000;;;;-3886000;-92974000
ABCL;1250893;USD;2022;FY;2022-12-31;2023-02-21;2024-02-20;285056606;314827255;158519000;8953000;80063000;29825000;;;;;277360000;-72660000;-253351000;;-352625000;;;;-1628000;-86492000
ABCL;1250893;USD;2023;FY;2023-12-31;2024-02-20;2024-02-20;289166486;289166486;-146398000;12758000;76538000;13225000;;;;;-43877000;-77507000;-110573000;;-221108000;;;;10356000;-254040000
ABEO;953884;USD;2019;FY;2019-12-31;2020-03-16;2021-03-24;80567;80567;-76282000;7819000;9196000;-3553000;;;;;-62820000;-6309000;;-199000;59976000;;;113902000;113902000;111058000
ABEO;953884;USD;2020;FY;2020-12-31;2021-03-24;2022-03-31;3706543;3706543;-84234000;4586000;42995000;1634000;;;;;-35019000;-1336000;;;-83714000;;1758000;178000;1936000;-116797000
ABEO;953884;USD;2021;FY;2021-12-31;2022-03-31;2023-03-29;3706543;3706543;-84936000;3250000;34284000;-18263000;;;;;-65665000;-4151000;;;66062000;;;24861000;24861000;25258000
ABEO;953884;USD;2022;FY;2022-12-31;2023-03-29;2024-03-18;7861515;7861515;-39696000;3093000;-988000;-5892000;;;;;-43483000;1604000;;;-23964000;;;69428000;43173000;-24274000
ABEO;953884;USD;2023;FY;2023-12-31;2024-03-18;2024-03-18;21380476;21380476;-54188000;2288000;16679000;-1788000;;;;;-37009000;-127000;;;208000;;;14408000;37057000;256000
ABG;545489;USD;2019;FY;2019-12-31;2020-03-02;2022-03-01;19100000;19300000;184400000;36200000;61100000;68100000;;;;;349800000;-56700000;;-170900000;-227600000;;-145400000;;-127000000;-4800000
ABG;545489;USD;2020;FY;2020-12-31;2021-03-01;2023-03-01;19200000;19300000;254400000;38500000;48000000;311600000;;;;;652500000;-44600000;;-776200000;-820800000;;229100000;;166200000;-2100000
ABG;545489;USD;2021;FY;2021-12-31;2022-03-01;2024-02-29;21700000;21800000;532400000;41900000;80800000;508600000;;;;;1163700000;-277600000;-300000;-3639100000;-3917000000;;2301300000;666900000;2930800000;177500000
ABG;545489;USD;2022;FY;2022-12-31;2023-03-01;2024-02-29;22300000;22400000;997300000;69000000;20700000;-391000000;;;;;696000000;-107900000;-123600000;696200000;464700000;;-760300000;-286000000;-1104300000;56400000
ABG;545489;USD;2023;FY;2023-12-31;2024-02-29;2024-02-29;20900000;21000000;602500000;67700000;224500000;-581700000;;;;;313000000;-126000000;-83100000;-1469300000;-1678400000;;1456100000;-267700000;1175800000;-189600000
ABIO;953886;USD;2019;FY;2019-12-31;2020-02-18;2021-03-18;1321234;1321234;-5482000;18000;222000;441000;;;;;-4801000;-4000;;;-4000;;-349000;7281000;6560000;1755000
ABIO;953886;USD;2020;FY;2020-12-31;2021-03-18;2022-03-14;4710237;4710237;-9738000;8000;128000;1877000;;;;;-7725000;-19000;;;-19000;;-408000;50894000;48452000;40708000
ABIO;953886;USD;2021;FY;2021-12-31;2022-03-14;2023-02-24;14410143;14410143;-19322000;16000;572000;-28000;;;;;-18762000;-43000;;;-43000;;;24070000;23093000;4288000
ABIO;953886;USD;2022;FY;2022-12-31;2023-02-24;2024-02-01;14410143;14410143;-9926000;20000;655000;-1661000;;;;;-10912000;-2000;;;-2000;;;;;-10914000
ABIO;953886;USD;2023;FY;2023-12-31;2024-02-01;2024-02-01;14415877;14415877;-5339000;15000;782000;-472000;;;;;-5014000;;;;;;;;;-5014000
ABM;199984;USD;2019;FY;2019-10-31;2019-12-20;2021-12-22;66600000;66900000;127500000;107400000;30800000;-2800000;;;;;262800000;-58300000;;;-58300000;-47700000;-143700000;;-184800000;19500000
ABM;199984;USD;2020;FY;2020-10-31;2020-12-17;2022-12-21;66900000;67300000;100000;96400000;187800000;173000000;;;;;457400000;-32500000;;;-27500000;-49300000;-86500000;-5100000;-93900000;335800000
ABM;199984;USD;2021;FY;2021-10-31;2021-12-22;2023-12-18;67300000;67800000;126300000;89900000;-11100000;109300000;;;;;314400000;-29900000;;-710200000;-740100000;-51000000;160700000;;92400000;-331400000
ABM;199984;USD;2022;FY;2022-10-31;2022-12-21;2024-12-19;67100000;67500000;230400000;112400000;84500000;-407000000;;;;;20300000;-44800000;-2100000;-194600000;-241500000;-51900000;384900000;-107400000;235500000;10100000
ABM;199984;USD;2023;FY;2023-10-31;2023-12-18;2024-12-19;66000000;66300000;251300000;120700000;-18700000;-110100000;;;;;243200000;-49700000;-12400000;;-62100000;-57500000;19200000;-148600000;-186400000;-3700000
ABMC;160965;USD;2019;FY;2019-12-31;2020-06-26;2021-04-15;32526669;32526669;-681000;81000;225000;433000;;;;;58000;0;;;0;;-167000;;-167000;-109000
ABMC;160965;USD;2020;FY;2020-12-31;2021-04-15;2022-04-15;38859032;38859032;-796000;79000;251000;-17000;;;;;-483000;-4000;;;-4000;;431048;198885;581000;94000
ABMC;160965;USD;2021;FY;2021-12-31;2022-04-15;2023-03-21;35558105;35558105;-463000;68000;-94000;-184000;;;;;-673000;;;;;;590850;100231;690000;17000
ABMC;160965;USD;2022;FY;2022-12-31;2023-03-21;2023-03-21;48017654;48017654;-1410000;51000;-29000;620000;;;;;-768000;;;;;;687000;;687000;-81000
ABMD;445587;USD;2018;FY;2019-03-31;2019-05-23;2021-05-21;44911000;46151000;259016000;14121000;17901000;-38841000;;;;;252197000;-44004000;-72451000;;-116455000;;;16001000;-55775000;78046000
ABMD;445587;USD;2019;FY;2020-03-31;2020-05-21;2022-05-20;45179000;45816000;203009000;20430000;83456000;8025000;;;;;314920000;-44006000;-81449000;;-125455000;;;-76028000;-117715000;71320000
ABMD;445587;USD;2020;FY;2021-03-31;2021-05-21;2022-05-20;45140000;45674000;225525000;24097000;42342000;-17386000;;;;;274578000;-53383000;-117778000;-52183000;-223344000;;;3244000;-8067000;40369000
ABMD;445587;USD;2021;FY;2022-03-31;2022-05-20;2022-05-20;45445000;45881000;136505000;28089000;150992000;-30196000;;;;;285390000;-35763000;-262406000;-82821000;-380990000;;;16658000;-2202000;-99892000
ABML;11795344;USD;2019;FY;2019-09-30;2019-12-27;2020-11-16;7533677;7533677;-2471498;;1722859;-90133;;;;;-838772;;;;;;829453;;829453;-9319
ABML;11795344;USD;2020;FY;2020-09-30;2020-09-28;2021-11-15;7533677;7533677;-3151209;2601;2280186;-203229;;;;;-1071651;-2094;;;-2094;;192429;1343750;1536179;462434
ABML;11795344;USD;2021;FY;2021-09-30;2021-11-15;2022-11-14;43202414;7533677;-19973286;10949;17255985;108356;;;;;-2597996;-5583308;;;-5583308;;;43406756;41245406;33064102
ABML;11795344;USD;2022;FY;2022-09-30;2022-09-12;2023-11-14;43202414;7533677;-2434454;13014;139509;-1755853;;;;;-4037784;-4077530;;;-4077530;;;;;-8115314
ABML;11795344;USD;2023;FY;2023-09-30;2023-09-28;2023-11-14;44348562;44348562;-7231985;36502;2209355;227144;;;;;-4758984;-6578431;;;-7272098;;12672496;37500;15090046;3058964
ABNB;1214552;USD;2019;FY;2019-12-31;2020-02-26;2022-02-25;262509000;262509000;-674339000;114162000;162522000;620382000;;;;;222727000;-125452000;144930000;-400298000;-347155000;;;5873000;854579000;704867000
ABNB;1214552;USD;2020;FY;2020-12-31;2021-02-26;2023-02-17;601021000;601021000;-4585000000;126000000;4114000000;-395000000;;;;;-740000000;-37000000;125000000;;80000000;;1924000000;3666000000;3051000000;2525000000
ABNB;1214552;USD;2021;FY;2021-12-31;2022-02-25;2024-02-16;621012000;681916000;-352000000;138000000;1766000000;761000000;;;;;2313000000;;;;60000000;;-16000000;189000000;-104000000;2059000000
ABNB;1214552;USD;2022;FY;2022-12-31;2023-02-17;2025-02-13;615891000;615891000;1893000000;81000000;1137000000;319000000;;;;;3430000000;;;;1302000000;;;-1412000000;-2019000000;2376000000
ABNB;1214552;USD;2023;FY;2023-12-31;2024-02-16;2025-02-13;635000000;665000000;4792000000;44000000;-1672000000;720000000;;;;;3884000000;;;;-106000000;;;-2142000000;-3366000000;564000000
ABOS;12444265;USD;2020;FY;2020-12-31;2021-03-28;2022-03-28;38651795;38651795;-7325000;;-432000;307000;;;;;-7450000;;;;;;44675000;;44675000;37225000
ABOS;12444265;USD;2021;FY;2021-12-31;2022-03-28;2023-03-27;20057534;20057534;-100606000;4000;82343000;298000;;;;;-17961000;-40000;-104080000;;-104120000;;;200466000;200466000;78385000
ABOS;12444265;USD;2022;FY;2022-12-31;2023-03-27;2024-03-26;40601936;40601936;-42856000;32000;3685000;3986000;;;;;-35153000;-161000;39346000;;39185000;;;3907000;3907000;7939000
ABOS;12444265;USD;2023;FY;2023-12-31;2024-03-26;2024-03-26;48609383;48609383;-52371000;61000;5380000;3866000;;;;;-43064000;-18000;-171653000;;-171671000;;30000000;122229000;151753000;-62982000
ABR;638468;USD;2019;FY;2019-12-31;2020-02-14;2022-02-18;92851327;116192951;155238000;7510000;-377228000;-12057000;;;;-12057000;-226537000;;1745704000;;-994740000;-138802000;9988229000;248809000;1391170000;169893000
ABR;638468;USD;2020;FY;2020-12-31;2021-02-19;2023-02-17;113811471;133969296;196157000;7640000;-155572000;25706000;;;;;73931000;8870000;1225921000;;-1142465000;-173109000;587275000;162054000;1094970000;26436000
ABR;638468;USD;2021;FY;2021-12-31;2022-02-18;2024-02-20;113811471;133969296;377807000;7215000;6498330000;-6653997000;;;;;229355000;;-40194000;;-6762762000;;1990827000;5317700000;6887679000;354272000
ABR;638468;USD;2022;FY;2022-12-31;2023-02-17;2025-02-21;165355167;199112630;353827000;8732000;781066000;13122000;;;;;1156747000;;3414930000;;-2134594000;-321739000;10620033000;486257000;1334742000;356895000
ABR;638468;USD;2023;FY;2023-12-31;2024-02-20;2025-02-21;184641642;218843613;400556000;9743000;-100106000;-53037000;;;;;257156000;;3364436000;;1998831000;-380640000;8022917000;156230000;-1966945000;289042000
ABSI;1250894;USD;2020;FY;2020-12-31;2021-03-22;2022-03-22;16983727;16983727;-14353000;1131000;1244000;1008000;;;;;-10970000;-2171000;;;-2171000;;70973000;;70973000;57832000
ABSI;1250894;USD;2021;FY;2021-12-31;2022-03-22;2023-03-30;90375022;90375022;-100960000;6654000;36854000;-3146000;;;;;-60598000;-38047000;-1200000;-28130000;-67377000;;120853000;215340000;336193000;208218000
