Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Revenue;Cost of Revenue;Gross Profit;Operating Expenses;Selling, General & Administrative;Research & Development;Depreciation & Amortization;Operating Income (Loss);Non-Operating Income (Loss);Interest Expense, Net;Pretax Income (Loss), Adj.;Abnormal Gains (Losses);Pretax Income (Loss);Income Tax (Expense) Benefit, Net;Income (Loss) from Continuing Operations;Net Extraordinary Gains (Losses);Net Income;Net Income (Common)
CLX;218764;USD;2019;FY;2019-06-30;2019-08-14;2021-08-10;127734000;129792000;6214000000;-3486000000;2728000000;-1604000000;-856000000;-136000000;;1124000000;-100000000;-97000000;1024000000;;1024000000;-204000000;820000000;;820000000;820000000
CLX;218764;USD;2020;FY;2020-06-30;2020-08-13;2022-08-10;125828000;127671000;6721000000;-3658000000;3063000000;-1789000000;-969000000;-145000000;;1274000000;-89000000;-99000000;1185000000;;1185000000;-246000000;939000000;;939000000;939000000
CLX;218764;USD;2021;FY;2021-06-30;2021-08-10;2023-08-10;126057000;128030000;7341000000;-4142000000;3199000000;-1943000000;-1004000000;-149000000;;1256000000;-27000000;-99000000;1229000000;-329000000;900000000;-181000000;719000000;;710000000;710000000
CLX;218764;USD;2022;FY;2022-06-30;2022-08-10;2024-08-08;123113000;123906000;7107000000;-4562000000;2545000000;-1795000000;-954000000;-132000000;;750000000;-143000000;-106000000;607000000;;607000000;-136000000;471000000;;462000000;462000000
CLX;218764;USD;2023;FY;2023-06-30;2023-08-10;2024-08-08;123589000;124181000;7389000000;-4481000000;2908000000;-2055000000;-1183000000;-138000000;;853000000;-170000000;-90000000;683000000;-445000000;238000000;-77000000;161000000;;149000000;149000000
CLXT;9076139;USD;2023;FY;2023-12-31;2024-03-21;2024-03-21;10314554;10314554;1817000;;;-71281000;-28914000;-42367000;;-69464000;132000;527000;-69332000;-268311000;-337643000;4000;-337639000;;-267627000;-267627000
CMAX;11818914;USD;2020;FY;2020-12-31;2021-03-04;2023-03-29;2672253;2672253;103421000;-83423000;19998000;-10316000;-8815000;;-1501000;9682000;-1659000;-1659000;7556483;-451000;7572000;;7572000;;7601000;7601000
CMAX;11818914;USD;2021;FY;2021-12-31;2022-03-16;2023-03-30;1752279;1752279;295762000;-264313000;31449000;-58750000;-45534000;;-13216000;-27301000;-5825000;-4492000;-6516308;26609000;-6517000;-159000;-6676000;;-6676000;-6676000
CMAX;11818914;USD;2022;FY;2022-12-31;2023-03-30;2024-03-18;3023617;3023617;631133000;-550830000;80303000;-109304000;-87585000;;-21719000;-29001000;-19696000;-20289556;-57251005;-8641000;-57338000;19542000;-37796000;;-37796000;-37796000
CMAX;11818914;USD;2023;FY;2023-12-31;2024-03-18;2024-03-18;3727725;3727725;751102000;-737201000;13901000;-122745000;-94958000;;-27787000;-108844000;-51927000;-54434000;-684475355;-523440000;-684211000;863000;-683348000;;-683348000;-683348000
CMBG;778513;USD;2019;FY;2019-12-31;2020-02-28;2020-02-28;18983206;18983206;339920;-62378;277542;-51269726;-13599748;-37669978;;-50992184;1009175;809785;-49983009;0;-49983009;-1045;-49984054;;-49984054;-49984054
CMBM;998419;USD;2019;FY;2019-12-31;2020-03-24;2022-02-24;19741764;19741764;267028000;-135799000;131229000;-129928000;-76378000;-47692000;-5858000;1301000;-8622000;-8076000;-7321000;;-7321000;-10280000;-17601000;;-17601000;-17601000
CMBM;998419;USD;2020;FY;2020-12-31;2021-03-01;2023-02-27;25707092;26403112;278459000;-139049000;139410000;-115462000;-62452000;-46371000;-6639000;23948000;-5817000;-5326000;18131000;;18131000;444000;18575000;;18575000;18575000
CMBM;998419;USD;2021;FY;2021-12-31;2022-02-24;2024-03-15;26540843;28639177;335854000;-175058000;160796000;-124377000;-66884000;-51322000;-6171000;36419000;-4513000;-4269000;31906000;;31906000;5515000;37421000;;37421000;37421000
CMBM;998419;USD;2022;FY;2022-12-31;2023-02-27;2024-03-15;26919550;28025278;296899000;-151759000;145140000;-125260000;-69434000;-49865000;-5961000;19880000;-1863000;-1977000;18017000;;18017000;2183000;20200000;;20200000;20200000
CMBM;998419;USD;2023;FY;2023-12-31;2024-03-15;2024-03-15;27519476;27519476;220195000;-151364000;68831000;-129685000;-69997000;-53478000;-6210000;-60854000;-2792000;-2521000;-63646000;;-63646000;-13774000;-77420000;;-77420000;-77420000
CMC;980334;USD;2019;FY;2019-08-31;2019-10-23;2021-10-14;117834558;119124628;5829002000;-5025514000;803488000;-463271000;-463271000;;;340217000;-71373000;-71373000;268844000;-384000;268460000;-69681000;198779000;-686000;198093000;198093000
CMC;980334;USD;2020;FY;2020-08-31;2020-10-15;2022-10-13;118921854;120309621;5476486000;-4531688000;944798000;-507007000;-507007000;;;437791000;-61837000;-61837000;375954000;-5176000;370778000;-92476000;278302000;1201000;279503000;279503000
CMC;980334;USD;2021;FY;2021-08-31;2021-10-14;2023-10-12;120338357;121983497;6729760000;-5623903000;1105857000;-505117000;-505117000;;;600740000;-51904000;-51904000;548836000;-14818000;534018000;-121153000;412865000;;412865000;412865000
CMC;980334;USD;2022;FY;2022-08-31;2022-10-13;2024-10-17;120338357;121983497;8913481000;-7057085000;1856396000;-544984000;-544984000;;;1311412000;-50709000;-50709000;1260703000;254444000;1515147000;-297885000;1217262000;;1217262000;1217262000
CMC;980334;USD;2023;FY;2023-08-31;2023-10-12;2024-10-17;117077703;118606271;8799533000;-6987618000;1811915000;-643535000;-643535000;;;1168380000;-40127000;-40127000;1128253000;-6286000;1121967000;-262207000;859760000;;859760000;859760000
CMCO;899253;USD;2018;FY;2019-03-31;2019-05-29;2021-05-26;23276000;23660000;876282000;-571285000;304997000;-209883000;-181492000;-13491000;-14900000;95114000;-16544000;-17144000;78570000;-25672000;52898000;-10321000;42577000;;42577000;42577000
CMCO;899253;USD;2019;FY;2020-03-31;2020-05-27;2022-05-25;23619000;23855000;809162000;-525976000;283186000;-193186000;-168934000;-11310000;-12942000;90000000;-12668000;-14234000;77332000;-176000;77156000;-17484000;59672000;;59672000;59672000
CMCO;899253;USD;2020;FY;2021-03-31;2021-05-26;2023-05-25;23897000;24173000;649642000;-429417000;220225000;-177970000;-152942000;-12405000;-12623000;42255000;-32179000;-12081000;10076000;;10076000;-970000;9106000;;9106000;9106000
CMCO;899253;USD;2021;FY;2022-03-31;2022-05-25;2024-05-29;23897000;24173000;906555000;-590825000;315730000;-241949000;-201315000;-15351000;-25283000;73781000;-20532000;-20126000;53249000;-14803000;38446000;-8786000;29660000;;29660000;29660000
CMCO;899253;USD;2022;FY;2023-03-31;2023-05-25;2024-05-29;28600000;28818000;936240000;-594141000;342099000;-244258000;-197322000;-20935000;-26001000;97841000;-23366000;-27942000;74475000;;74475000;-26046000;48429000;;48429000;48429000
CMCSA;106366;USD;2019;FY;2019-12-31;2020-01-30;2022-02-02;4548000000;4610000000;108942000000;-34440000000;74502000000;-53377000000;-40424000000;;-12953000000;21125000000;-4129000000;-4567000000;16996000000;;16996000000;-3673000000;13323000000;;13057000000;13057000000
CMCSA;106366;USD;2020;FY;2020-12-31;2021-02-04;2023-02-03;4574000000;4624000000;103564000000;-33121000000;70443000000;-52950000000;-39850000000;;-13100000000;17493000000;-3428000000;-4588000000;14065000000;;14065000000;-3364000000;10701000000;;10534000000;10534000000
CMCSA;106366;USD;2021;FY;2021-12-31;2022-02-02;2024-01-31;4588000000;4665000000;116385000000;-38450000000;77935000000;-57118000000;-43314000000;;-13804000000;20817000000;-1724000000;-4281000000;19093000000;;19093000000;-5259000000;13834000000;;14159000000;14159000000
CMCSA;106366;USD;2022;FY;2022-12-31;2023-02-03;2024-01-31;4533230325;4654000000;121427000000;-38213000000;83214000000;-60590000000;-46769000000;;-13821000000;22624000000;-4757000000;-3896000000;17867000000;-8583000000;9284000000;-4359000000;4925000000;;5370000000;5370000000
CMCSA;106366;USD;2023;FY;2023-12-31;2024-01-31;2024-01-31;4122000000;4148000000;121572000000;-36762000000;84810000000;-61497000000;-47161000000;;-14336000000;23313000000;-2835000000;-4087000000;20478000000;;20478000000;-5371000000;15107000000;;15389000000;15389000000
CMD;52478;USD;2019;FY;2019-07-31;2019-09-25;2020-09-25;41700926;41757116;918155000;-490701000;427454000;-343935000;-312615000;-31320000;;83519000;-8200000;-9505000;75319000;;75319000;-20277000;55042000;;55042000;55042000
CMD;52478;USD;2020;FY;2020-07-31;2020-09-25;2020-09-25;42266677;42327535;1016048000;-580075000;435973000;-387666000;-355294000;-32372000;;48307000;-41355000;-41355000;6952000;;6952000;6756000;13708000;;13708000;13708000
CME;378116;USD;2019;FY;2019-12-31;2020-02-28;2022-02-25;357155000;358239000;4868000000;-898700000;3969300000;-1381500000;;;-473300000;2587800000;101800000;-178000000;2689600000;;2689600000;-573800000;2115800000;;2116500000;2116500000
CME;378116;USD;2020;FY;2020-12-31;2021-02-26;2023-02-27;357764000;358524000;4883600000;-856500000;4027100000;-1389700000;;;-464400000;2637400000;84700000;-166200000;2722100000;;2722100000;-615700000;2106400000;;2105200000;2105200000
CME;378116;USD;2021;FY;2021-12-31;2022-02-25;2024-02-28;358363000;358988000;4689700000;-837000000;3852700000;-1207500000;;;-385400000;2645200000;728400000;-166900000;3373600000;;3373600000;-736700000;2636900000;;2636400000;2636400000
CME;378116;USD;2022;FY;2022-12-31;2023-02-27;2024-02-28;357764000;358524000;5019400000;-753100000;4266300000;-1250400000;;;-362600000;3015900000;474400000;-162700000;3490300000;;3490300000;-799300000;2691000000;;2691000000;2691000000
CME;378116;USD;2023;FY;2023-12-31;2024-02-28;2024-02-28;359020000;359619000;5578900000;-828600000;4750300000;-1314600000;;;-352600000;3435700000;717900000;-159400000;4153600000;;4153600000;-927400000;3226200000;;3226200000;3226200000
CMG;80874;USD;2019;FY;2019-12-31;2020-02-05;2022-02-11;1387000000;1414750000;5586369000;-3683048000;1903321000;-1436269000;-451552000;;-212778000;467052000;14327000;;481379000;-23094000;458285000;-108127000;350158000;;350158000;350158000
CMG;80874;USD;2020;FY;2020-12-31;2021-02-10;2023-02-09;1395850000;1420800000;5984634000;-3913541000;2071093000;-1750352000;-466291000;;-238534000;320741000;3617000;;324358000;-30577000;293781000;61985000;355766000;;355766000;355766000
CMG;80874;USD;2021;FY;2021-12-31;2022-02-11;2024-02-08;1407500000;1423750000;7547061000;-4642998000;2904063000;-2079829000;-606854000;;-254657000;824234000;7820000;;832054000;-19291000;812763000;-159779000;652984000;;652984000;652984000
CMG;80874;USD;2022;FY;2022-12-31;2023-02-09;2024-02-08;1392550000;1403100000;8634652000;-5260628000;3374024000;-2192482000;-564191000;;-286826000;1181542000;21128000;;1202670000;-21139000;1181531000;-282430000;899101000;;899101000;899101000
CMG;80874;USD;2023;FY;2023-12-31;2024-02-08;2024-02-08;1377750000;1385500000;9871649000;-5856810000;4014839000;-2418656000;-633584000;;-319394000;1596183000;62693000;;1658876000;-38370000;1620506000;-391769000;1228737000;;1228737000;1228737000
CMI;120498;USD;2019;FY;2019-12-31;2020-02-11;2022-02-08;155400000;156100000;23571000000;-17591000000;5980000000;-3491000000;-2454000000;-1001000000;;2489000000;464000000;-109000000;2953000000;-119000000;2834000000;-566000000;2268000000;;2260000000;2260000000
CMI;120498;USD;2020;FY;2020-12-31;2021-02-10;2023-02-14;148200000;149000000;19811000000;-14917000000;4894000000;-3077000000;-2125000000;-906000000;;1817000000;521000000;-100000000;2338000000;;2338000000;-527000000;1811000000;;1789000000;1789000000
CMI;120498;USD;2021;FY;2021-12-31;2022-02-08;2024-02-12;143500000;144700000;24021000000;-18326000000;5695000000;-3495000000;-2374000000;-1090000000;;2200000000;551000000;-111000000;2751000000;;2751000000;-587000000;2164000000;;2131000000;2131000000
CMI;120498;USD;2022;FY;2022-12-31;2023-02-14;2024-02-12;148200000;149000000;28074000000;-21355000000;6719000000;-4139000000;-2687000000;-1278000000;;2580000000;239000000;-199000000;2819000000;;2819000000;-636000000;2183000000;;2151000000;2151000000
CMI;120498;USD;2023;FY;2023-12-31;2024-02-12;2024-02-12;141700000;142700000;34065000000;-25816000000;8249000000;-6971000000;-3333000000;-1500000000;;1278000000;348000000;-375000000;1626000000;;1626000000;-786000000;840000000;;735000000;735000000
CMLF;1253263;USD;2020;FY;2020-12-31;2021-03-14;2023-03-16;55343801;55343801;179322000;;;-421316000;-339221000;-72700000;;-241994000;654000;-1968000;-241340000;;-241340000;;-241340000;;-241340000;-241340000
CMLF;1253263;USD;2021;FY;2021-12-31;2022-03-14;2023-03-16;11068750;11068750;212195000;;;-658344000;-547523000;-105162000;;-446149000;2358000;-2756000;-443791000;198401000;-245390000;;-245390000;;-245390000;-245390000
CMLF;1253263;USD;2022;FY;2022-12-31;2023-03-16;2024-02-23;10236960;10236960;234694000;-261444000;-26750000;-430757000;-338242000;-86203000;;-457507000;-609000;-666000;-458116000;-139916000;-598032000;49052000;-548980000;;-548980000;-548980000
CMLF;1253263;USD;2023;FY;2023-12-31;2024-02-23;2024-02-23;24311989;24311989;202566000;-112560000;90006000;-260200000;-194711000;-58266000;;-170194000;2733000;1114000;-167461000;-9232000;-176693000;926000;-175767000;;-175767000;-175767000
CMLS;659310;USD;2019;FY;2019-12-31;2020-02-21;2021-02-23;20131000;20284000;1113445000;-467141000;646304000;-513772000;-461218000;;-52554000;132532000;-83068000;-82891000;49464000;34056000;83520000;-22263000;61257000;;61257000;61257000
CMLS;659310;USD;2020;FY;2020-12-31;2021-02-23;2022-02-23;20317064;20317064;816218000;-389426000;426792000;-419985000;-367695000;;-52290000;6807000;-68366000;-68099000;-61559000;-17409000;-78968000;19249000;-59719000;;-59719000;-59719000
CMLS;659310;USD;2021;FY;2021-12-31;2022-02-23;2023-02-23;20508135;20717018;916467000;-359766000;556701000;-505201000;-376832000;;-53545000;51500000;-68856000;-67847000;-17356000;37616000;20260000;-2982000;17278000;;17278000;17278000
CMLS;659310;USD;2022;FY;2022-12-31;2023-02-23;2024-02-27;19560257;20023291;953506000;-357478000;596028000;-502232000;-383375000;;-56386000;93796000;-64680000;-64550000;29116000;-9511000;19605000;-3370000;16235000;;16235000;16235000
CMLS;659310;USD;2023;FY;2023-12-31;2024-02-27;2024-02-27;17269001;17269001;844548000;-331359000;513189000;-505219000;-377032000;;-58176000;7970000;-69267000;-68910000;-61297000;-39399000;-100696000;-17183000;-117879000;;-117879000;-117879000
CMP;638470;USD;2019;FY;2019-12-31;2020-02-26;2021-11-30;33882000;33882000;1085100000;-852600000;232500000;-112900000;-112900000;;;119600000;-70200000;-58300000;49400000;;49400000;-9100000;40300000;20500000;60800000;60800000
CMP;638470;USD;2020;FY;2020-12-31;2021-02-26;2022-12-14;33928000;33928000;1004900000;-785100000;219800000;-116800000;-116800000;;;103000000;-58500000;-62700000;44500000;;44500000;-1900000;42600000;20500000;63100000;63100000
CMP;638470;USD;2021;FY;2021-12-31;2021-11-30;2023-02-07;34154000;34154000;331500000;-271600000;59900000;-39500000;-39500000;;;20400000;-13500000;-13600000;6900000;0;6900000;1200000;8100000;-5500000;2600000;2600000
CMP;638470;USD;2022;FY;2022-12-31;2023-02-07;2023-11-29;35527750;35527750;1244100000;-1047300000;196800000;-153900000;-153900000;;;42900000;-45200000;-54400000;-2300000;;-2300000;-35000000;-37300000;12200000;-25100000;-25100000
CMP;638470;USD;2023;FY;2023-12-31;2023-11-29;2023-11-29;40890750;40890750;1204700000;-970800000;233900000;-154800000;-154800000;;;79100000;-59900000;-50200000;19200000;13700000;32900000;-17400000;15500000;;15500000;15500000
CMPR;889944;USD;2019;FY;2019-06-30;2019-08-09;2021-08-06;30786349;31662705;2751076000;-1401344000;1349732000;-1166568000;-876515000;-236797000;-53256000;183164000;-36695000;-63171000;146469000;-19557000;126912000;-33432000;93480000;;95052000;95052000
CMPR;889944;USD;2020;FY;2020-06-30;2020-08-11;2022-08-05;27180744;27773286;2481358000;-1248871000;1232487000;-1062133000;-757095000;-253252000;-51786000;170354000;-52966000;-75840000;117388000;-114385000;3003000;80992000;83995000;;83365000;83365000
CMPR;889944;USD;2021;FY;2021-06-30;2021-08-06;2023-08-04;25984300;25984300;2575961000;-1299889000;1276072000;-1150921000;-844043000;-253060000;-53818000;125151000;-138721000;-119368000;-13570000;-49984000;-63554000;-18903000;-82457000;;-85229000;-85229000
CMPR;889944;USD;2022;FY;2022-06-30;2022-08-05;2024-08-09;26094842;26094842;2887555000;-1492726000;1394829000;-1333928000;-986586000;-292845000;-54497000;60901000;-37967000;-99430000;22934000;-13603000;9331000;-59901000;-50570000;;-54331000;-54331000
CMPR;889944;USD;2023;FY;2023-06-30;2023-08-04;2024-08-09;26252860;26252860;3079627000;-1640625000;1439002000;-1332327000;-983216000;-302257000;-46854000;106675000;-94295000;-112793000;12380000;-42602000;-30222000;-155493000;-185715000;;-185978000;-185978000
CMPS;10656498;USD;2019;FY;2019-12-31;2020-03-08;2022-02-24;16991664;16991664;;;;-21179000;-8616000;-12563000;;-21179000;-8000;;-21187000;1590000;-19597000;-15000;-19612000;;-19612000;-19612000
CMPS;10656498;USD;2020;FY;2020-12-31;2021-03-09;2023-02-28;16991664;16991664;;;;-51393000;-28027000;-23366000;;-51393000;-11383000;;-62776000;2474000;-60302000;-32000;-60334000;;-60334000;-60334000
CMPS;10656498;USD;2021;FY;2021-12-31;2022-02-24;2024-02-29;39997587;39997587;;;;-83221000;-39194000;-44027000;;-83221000;2030000;;-81191000;9648000;-71543000;-199000;-71742000;;-71742000;-71742000
CMPS;10656498;USD;2022;FY;2022-12-31;2023-02-28;2024-02-29;42436292;42436292;;;;-110403000;-45350000;-65053000;;-110403000;4882000;;-105521000;14424000;-91097000;-408000;-91505000;;-91505000;-91505000
CMPS;10656498;USD;2023;FY;2023-12-31;2024-02-29;2024-02-29;51028024;51028024;;;;-136919000;-49401000;-87518000;;-136919000;6360000;-2204000;-130559000;12875000;-117684000;-780000;-118464000;;-118464000;-118464000
CMPX;1872767;USD;2019;FY;2019-12-31;2020-04-01;2021-03-05;101010000;101010000;;;;-34052000;-11603000;-22449000;;-34052000;-601000;-1228000;-34653000;;-34653000;-91000;-34744000;;-34744000;-34744000
CMPX;1872767;USD;2020;FY;2020-12-31;2021-06-09;2022-03-18;101010000;101010000;;;;-27812000;-12908000;-14904000;;-27812000;-1656000;;-29468000;;-29468000;-32000;-29500000;;-29500000;-29500000
CMPX;1872767;USD;2021;FY;2021-12-31;2022-03-18;2023-03-15;101010000;101010000;;;;-31264000;-10927000;-20337000;;-31264000;-299000;;-31563000;-50618000;-82181000;;-82181000;;-82181000;-82181000
CMPX;1872767;USD;2022;FY;2022-12-31;2023-03-15;2024-03-21;105186000;105186000;;;;-41655000;-11658000;-29997000;;-41655000;2430000;;-39225000;;-39225000;;-39225000;;-39225000;-39225000
CMPX;1872767;USD;2023;FY;2023-12-31;2024-03-21;2024-03-21;127027000;127027000;;;;-50363000;-12243000;-38120000;;-50363000;7869000;;-42494000;;-42494000;;-42494000;;-42494000;-42494000
CMRE;6767749;USD;2019;FY;2019-12-31;2020-02-26;2022-03-28;115747452;115747452;478109000;-126674000;351435000;-144238000;-9430000;;-113462000;207197000;-73505000;-85658000;133692000;-34693000;98999000;;98999000;;98999000;67730000
CMRE;6767749;USD;2020;FY;2020-12-31;2021-03-01;2023-04-03;120696130;120696130;460319000;-130942000;329377000;-141631000;-11015000;;-108700000;187746000;-49499000;-66875000;138247000;-129370000;8877000;;8877000;;8877000;-21586000
CMRE;6767749;USD;2021;FY;2021-12-31;2022-03-28;2024-03-29;123070730;123070730;793639000;-204381000;589258000;-153777000;-16819000;;-136958000;435481000;-65115000;-84460000;370366000;64755000;435121000;;435121000;;435121000;404053000
CMRE;6767749;USD;2022;FY;2022-12-31;2023-04-03;2024-03-29;122964358;122964358;1113859000;-333718000;780141000;-185527000;-19529000;;-165998000;594614000;-107044000;-116277000;487570000;67122000;554692000;;554692000;;554955000;523887000
CMRE;6767749;USD;2023;FY;2023-12-31;2024-03-29;2024-03-29;122964358;122964358;1511406000;-888863000;622543000;-190556000;-24216000;;-166340000;431987000;-101701000;-111982000;330286000;50733000;381019000;;381019000;;385749000;354681000
CMRX;9076022;USD;2019;FY;2019-12-31;2020-02-25;2022-03-01;55501973;55501973;12519000;;;-63457000;-21169000;-42288000;;-50938000;3407000;;-47531000;-65045000;-112576000;;-112576000;;-112576000;-112576000
CMRX;9076022;USD;2020;FY;2020-12-31;2021-02-25;2023-03-02;62183947;62183947;5372000;;;-49888000;-13656000;-36232000;;-44516000;994000;;-43522000;;-43522000;;-43522000;;-43522000;-43522000
CMRX;9076022;USD;2021;FY;2021-12-31;2022-03-01;2024-02-29;84930255;84930255;1979000;;;-92489000;-18672000;-73817000;;-90510000;164000;;-90346000;-82890000;-173236000;;-173236000;;-173236000;-173236000
CMRX;9076022;USD;2022;FY;2022-12-31;2023-03-02;2024-02-29;87555110;88776147;33824000;-447000;33377000;-93763000;-22132000;-71631000;;-60386000;2919000;;-57467000;229670000;172203000;-36000;172167000;;172167000;172167000
CMRX;9076022;USD;2023;FY;2023-12-31;2024-02-29;2024-02-29;88604026;88604026;324000;;;-93389000;-24601000;-68788000;;-93065000;10970000;;-82095000;;-82095000;;-82095000;;-82095000;-82095000
CMS;378117;USD;2019;FY;2019-12-31;2020-02-06;2022-02-10;284300000;284300000;6624000000;-2833000000;3791000000;-2676000000;;;-989000000;1115000000;-361000000;-453000000;754000000;10000000;764000000;-131000000;633000000;49000000;680000000;680000000
CMS;378117;USD;2020;FY;2020-12-31;2021-02-11;2023-02-09;286300000;286300000;6418000000;-2508000000;3910000000;-2680000000;;;-1043000000;1230000000;-539000000;-505000000;691000000;118000000;809000000;-115000000;694000000;58000000;755000000;755000000
CMS;378117;USD;2021;FY;2021-12-31;2022-02-10;2024-02-08;289100000;289600000;7329000000;-3070000000;4259000000;-2948000000;-1610000000;;-1114000000;1311000000;-488000000;-500000000;823000000;;823000000;-95000000;728000000;602000000;1353000000;1348000000
CMS;378117;USD;2022;FY;2022-12-31;2023-02-09;2024-02-08;289000000;289500000;8596000000;-4165000000;4431000000;-3002000000;-1669000000;;-1126000000;1429000000;-527000000;-519000000;902000000;;902000000;-93000000;809000000;4000000;837000000;827000000
CMT;776098;USD;2019;FY;2019-12-31;2020-03-13;2022-03-11;7830000;7830000;284290000;-262784000;21506000;-28934000;-28934000;;;-7428000;-4144000;-4144000;-11572000;-4006000;-15578000;355000;-15223000;;-15223000;-15223000
CMT;776098;USD;2020;FY;2020-12-31;2021-03-11;2023-03-14;7830000;7830000;222356000;-187882000;34474000;-24084000;-24084000;;;10390000;-5923000;-5923000;4467000;80000;4547000;3618000;8165000;;8165000;8165000
CMT;776098;USD;2021;FY;2021-12-31;2022-03-11;2024-03-12;8053000;8053000;307483000;-266139000;41344000;-30276000;-30276000;;;11068000;-2311000;-2311000;8757000;162000;8919000;-4248000;4671000;;4671000;4671000
CMT;776098;USD;2022;FY;2022-12-31;2023-03-14;2024-03-12;8062000;8062000;377376000;-324974000;52402000;-34399000;-34399000;;;18003000;-1960000;-1960000;16043000;-1458000;14585000;-2382000;12203000;;12203000;12203000
CMT;776098;USD;2023;FY;2023-12-31;2024-03-12;2024-03-12;8550000;8772000;357738000;-293218000;64520000;-37983000;-37983000;;;26537000;-1011000;-1011000;25526000;220000;25746000;-5422000;20324000;;20324000;20324000
CMTG;10384237;USD;2020;FY;2020-12-31;2021-03-16;2023-02-16;141530780;141530780;273708000;;;-22440000;-9004000;;;251268000;;;251268000;-45600000;205668000;;205668000;;202409000;202378000
CMTL;48404;USD;2019;FY;2019-07-31;2019-09-24;2021-10-04;24124000;24302000;671797000;-424357000;247440000;-203366000;-128639000;-56407000;-18320000;44074000;-9280000;-9280000;34794000;-5884000;28910000;-3869000;25041000;;25041000;25041000
CMTL;48404;USD;2020;FY;2020-07-31;2020-09-29;2022-09-29;24798000;24899000;616715000;-389882000;226833000;-190905000;-117130000;-52180000;-21595000;35928000;-5864000;-5864000;30064000;-20754000;9310000;-2290000;7020000;;7020000;7020000
CMTL;48404;USD;2021;FY;2021-07-31;2021-10-04;2023-10-12;25321000;25321000;581695000;-367737000;213958000;-181964000;-111796000;-49148000;-21020000;31994000;-6682000;-6682000;25312000;-100292000;-74980000;1500000;-73480000;;-73480000;-73480000
CMTL;48404;USD;2022;FY;2022-07-31;2022-09-29;2024-10-30;26506000;26506000;486239000;-306403000;179836000;-188786000;-114858000;-52532000;-21396000;-8950000;-4328000;-4328000;-13278000;-23797000;-37075000;4023000;-33052000;;-33052000;-43268000
CMTL;48404;USD;2023;FY;2023-07-31;2023-10-12;2024-10-30;28002000;28002000;549994000;-365534000;184460000;-190030000;-120003000;-48631000;-21396000;-5570000;-16187000;-16187000;-21757000;-9090000;-30847000;3948000;-26899000;;-26899000;-33906000
CNC;378107;USD;2019;FY;2019-12-31;2020-02-18;2022-02-22;413487000;420409000;74639000000;-61327000000;13312000000;-11260000000;-6533000000;;-258000000;2052000000;31000000;-412000000;2083000000;-301000000;1782000000;-473000000;1309000000;;1321000000;1321000000
CNC;378107;USD;2020;FY;2020-12-31;2021-02-22;2023-02-21;570722000;579135000;111115000000;;;-107961000000;-9380000000;;-2682000000;3154000000;-248000000;-728000000;2906000000;-133000000;2773000000;-979000000;1794000000;;1808000000;1808000000
CNC;378107;USD;2021;FY;2021-12-31;2022-02-22;2024-02-20;583244000;590702000;125982000000;-4894000000;121088000000;-117825000000;-9601000000;;-1335000000;3263000000;154000000;-665000000;3417000000;-1604000000;1813000000;-477000000;1336000000;;1347000000;1347000000
CNC;378107;USD;2022;FY;2022-12-31;2023-02-21;2024-02-20;575191000;582040000;144547000000;-7032000000;137515000000;-133879000000;-11589000000;;-1431000000;3636000000;614000000;-665000000;4250000000;-2288000000;1962000000;-760000000;1202000000;;1202000000;1202000000
CNC;378107;USD;2023;FY;2023-12-31;2024-02-20;2024-02-20;543319000;545704000;153999000000;-3564000000;150435000000;-146976000000;-12563000000;;-1293000000;3459000000;668000000;-725000000;4127000000;-529000000;3598000000;-899000000;2699000000;;2702000000;2702000000
CNCE;7962872;USD;2019;FY;2019-12-31;2020-02-27;2021-02-25;23740000;23740000;1077000;;;-80092000;-20276000;-59816000;;-79015000;2999000;;-76016000;-2150000;-78166000;;-78166000;;-78166000;-78166000
CNCE;7962872;USD;2020;FY;2020-12-31;2021-02-25;2022-03-03;31200000;31200000;7902000;;;-80549000;-18925000;-61624000;;-72647000;1202000;;-71445000;-3406000;-74851000;85000;-74766000;;-74766000;-74766000
CNCE;7962872;USD;2021;FY;2021-12-31;2022-03-03;2022-03-03;34405000;34405000;32578000;;;-110086000;-22531000;-87555000;;-77508000;46000;;-77462000;-2589000;-80051000;;-80051000;;-80051000;-80051000
CNDA;11817870;USD;2021;FY;2021-12-31;2022-03-11;2023-02-27;7002438;35012188;;;;-515314;-515314;;;-515314;37531;;-477783;4015612;3537829;;3537829;;3537829;3537829
CNDA;11817870;USD;2022;FY;2022-12-31;2023-02-27;2024-03-01;28010;28009750;;;;-1161679;;;;-1161679;4052237;;2890558;12410693;15301251;-780364;14520887;;14520887;14520887
CNDA;11817870;USD;2023;FY;2023-12-31;2024-03-01;2024-03-01;24392704;24392704;;;;-2307883;;;;-2307883;11209586;;8901703;370408;9272111;-2312003;6960108;;6960108;6960108
CNDT;716302;USD;2019;FY;2019-12-31;2020-02-27;2022-02-23;209318000;209318000;4467000000;-3494000000;973000000;-946000000;-479000000;-8000000;-459000000;27000000;-68000000;-78000000;-41000000;-2065000000;-2106000000;172000000;-1934000000;;-1934000000;-1934000000
